StationID,ActivityStartDate,ActivityStartTime/Time,secchi_units,secchi,source
CL-089,8/30/2016,10:49:00 AM,m,1.5,DHEC
CW-207,4/21/2016,11:39:00 AM,m,0.75,DHEC
RL-16039,9/22/2016,11:44:00 AM,m,0.5,DHEC
RL-16039,4/21/2016,11:56:00 AM,m,0.75,DHEC
CL-089,12/7/2016,10:51:00 AM,m,1,DHEC
CW-207,8/30/2016,11:47:00 AM,m,0.75,DHEC
RL-16039,12/7/2016,12:27:00 PM,m,1,DHEC
CW-231,8/30/2016,1:06:00 PM,m,0.5,DHEC
CW-207,12/7/2016,12:07:00 PM,m,1,DHEC
RL-17055,12/5/2017,12:45:00 PM,m,0.75,DHEC
CW-016F,9/20/2017,11:09:00 AM,m,0.4,DHEC
CW-057,7/18/2017,12:31:00 PM,m,0.9,DHEC
RL-17071,9/20/2017,11:27:00 AM,m,0.4,DHEC
RL-17071,10/18/2017,11:21:00 AM,m,0.3,DHEC
CL-089,9/28/2017,11:22:00 AM,m,0.5,DHEC
CW-016,6/13/2017,10:16:00 AM,m,0.3,DHEC
RL-17055,8/24/2017,2:14:00 PM,m,0.75,DHEC
RL-17127,8/23/2017,11:15:00 AM,m,1,DHEC
CW-207,8/24/2017,1:58:00 PM,m,0.75,DHEC
RL-17127,7/13/2017,11:36:00 AM,m,0.7,DHEC
CW-207,1/30/2017,12:25:00 PM,m,0.5,DHEC
CL-089,10/25/2017,11:05:00 AM,m,1,DHEC
CW-231,5/16/2017,10:45:00 AM,m,0.3,DHEC
CW-207,7/27/2017,12:15:00 PM,m,0.75,DHEC
CW-057,9/20/2017,12:05:00 PM,m,0.6,DHEC
CW-057,10/18/2017,11:35:00 AM,m,0.3,DHEC
CW-033,5/16/2017,11:30:00 AM,m,0.3,DHEC
CW-016F,6/13/2017,10:41:00 AM,m,0.3,DHEC
CL-089,6/22/2017,11:39:00 AM,m,0.75,DHEC
CW-207,10/25/2017,12:07:00 PM,m,0.75,DHEC
CW-207,5/30/2017,1:00:00 PM,m,0.4,DHEC
CL-089,3/29/2017,11:33:00 AM,m,1.25,DHEC
CW-222,1/26/2017,11:46:00 AM,m,0.25,DHEC
RL-17127,6/14/2017,1:00:00 PM,m,1,DHEC
CL-089,7/27/2017,11:13:00 AM,m,1.25,DHEC
RL-17055,6/22/2017,12:51:00 PM,m,0.75,DHEC
CL-089,12/5/2017,11:35:00 AM,m,1.25,DHEC
CW-207,3/29/2017,12:30:00 PM,m,1,DHEC
RL-17055,3/29/2017,12:42:00 PM,m,1.25,DHEC
CW-231,6/14/2017,11:36:00 AM,m,1,DHEC
RL-17055,7/27/2017,12:25:00 PM,m,0.5,DHEC
CW-057,6/13/2017,11:36:00 AM,m,0.3,DHEC
